Borough,GI,PM,Green,Bio,Asthma
Barking and Dagenham,0.588596275,0.028769841,0.197830579,0.177262715,0.18473314
Barnet,0.381731999,0.072420635,0.088842975,0.134411294,0.086057096
Bexley,0.356301183,0.056547619,0.127066116,0.129555467,0.043131982
Brent,0.723759926,0.048611111,0.189566116,0.235582699,0.25
Bromley,0.066468254,0.066468254,0,0,0
Camden,0.400079657,0.025793651,0.169938017,0.113636364,0.090711626
Croydon,0.402347321,0.06547619,0.116219008,0.164797757,0.055854365
Ealing,0.494421368,0.067460317,0.148243802,0.129255106,0.149462143
Enfield,0.433853781,0.069444444,0.098657025,0.163145775,0.102606537
Greenwich,0.386587933,0.056547619,0.134297521,0.142370845,0.053371949
Hackney,0.43324979,0,0.203512397,0.163746496,0.065990898
Hammersmith and Fulham,0.610958471,0.005952381,0.229338843,0.242340809,0.133326438
Haringey,0.370818895,0.004960317,0.180785124,0.088155787,0.096917667
Harrow,0.505911638,0.014880952,0.098140496,0.181367641,0.211522549
Havering,0.316129857,0.054563492,0.058367769,0.06242491,0.140773686
Hillingdon,0.619075004,0.25,0.084194215,0.074289147,0.210591643
Hounslow,0.327525112,0.055555556,0.124483471,0.084701642,0.062784444
Islington,0.577185492,0,0.23088843,0.25,0.096297062
Kensington and Chelsea,0.429230997,0.00297619,0.217975207,0.147977573,0.060302027
Kingston upon Thames,0.377426687,0.011904762,0.110020661,0.202543052,0.052958213
Lambeth,0.589938359,0.015873016,0.219524793,0.244693632,0.109846918
Lewisham,0.519627672,0.017857143,0.178202479,0.14607529,0.17749276
Merton,0.318859419,0.013888889,0.14411157,0.113486183,0.047372776
Newham,0.492890904,0.055555556,0.224690083,0.139517421,0.073127844
Redbridge,0.402791932,0.038690476,0.12035124,0.101321586,0.142428631
Richmond upon Thames,0.253337944,0.016865079,0.044938017,0.169503404,0.022031444
Southwark,0.422417555,0.021825397,0.185950413,0.144823789,0.069817956
Sutton,0.383682923,0.015873016,0.147727273,0.169503404,0.05057923
Tower Hamlets,0.600588685,0.054563492,0.25,0.178213857,0.117811336
Waltham Forest,0.38859618,0.016865079,0.170971074,0.093912695,0.106847331
Wandsworth,0.415996682,0.031746032,0.179752066,0.145024029,0.059474555
Westminster,0.610556646,0.108134921,0.212809917,0.117290749,0.172321059
