borough,borough_code,borough_area_ha,borough_green_sum,percentage,see Methodology Report for margins of error - https://data.london.gov.uk/dataset/green-cover-2024
Havering,E09000016,11447.75701,7134.640376,62.3%,
Westminster,E09000033,2203.839897,713.426152,32.4%,
Kingston upon Thames,E09000021,3727.68156,1950.513339,52.3%,
Camden,E09000007,2179.747821,887.326626,40.7%,
Hackney,E09000012,1905.522052,650.8055222,34.2%,
Barking and Dagenham,E09000002,3780.810716,1336.28857,35.3%,
Ealing,E09000009,5556.919422,2496.547067,44.9%,
Waltham Forest,E09000031,3881.888541,1573.413671,40.5%,
Hammersmith and Fulham,E09000013,1716.107445,500.5573317,29.2%,
Hounslow,E09000018,5661.090638,2800.067602,49.5%,
Wandsworth,E09000032,3523.406533,1366.132264,38.8%,
Harrow,E09000015,5048.685229,2758.749287,54.6%,
Barnet,E09000003,8678.161694,4892.594499,56.4%,
Hillingdon,E09000017,11575.63237,6628.916618,57.3%,
Brent,E09000005,4325.123326,1597.762624,36.9%,
Newham,E09000025,3858.811085,1162.01661,30.1%,
Bexley,E09000004,6429.987413,3153.109504,49.0%,
Greenwich,E09000011,5045.50519,2403.113432,47.6%,
Tower Hamlets,E09000030,2158.173345,543.2491935,25.2%,
Croydon,E09000008,8652.277691,4419.000333,51.1%,
Enfield,E09000010,8222.709473,4478.194507,54.5%,
Bromley,E09000006,15017.0678,11059.78931,73.6%,
Southwark,E09000028,2992.33037,1123.843,37.6%,
Lewisham,E09000023,3532.756439,1379.913032,39.1%,
Redbridge,E09000026,5645.593367,2837.10614,50.3%,
Kensington and Chelsea,E09000020,1238.86323,388.4801508,31.4%,
Sutton,E09000029,4386.295723,1973.592154,45.0%,
Merton,E09000024,3763.945935,1720.55086,45.7%,
City of London,E09000001,315.0475695,18.82971653,6.0%,
Islington,E09000019,1486.175021,429.4581233,28.9%,
Haringey,E09000014,2960.782924,1143.341624,38.6%,
Richmond upon Thames,E09000027,5878.635372,3817.792383,64.9%,
Lambeth,E09000022,2725.878718,847.7188718,31.1%,
