borough,borough_code,borough_area_ha,borough_canopy_sum,percentage,see Methodology Report for margins of error - https://data.london.gov.uk/dataset/canopy-cover-2024
Barking and Dagenham,E09000002,3780.810716,311.4127194,8.24%,
Barnet,E09000003,8678.161694,2093.560442,24.12%,
Bexley,E09000004,6429.987413,1040.617984,16.18%,
Brent,E09000005,4325.123326,661.0257128,15.28%,
Bromley,E09000006,15017.0678,4075.006052,27.14%,
Camden,E09000007,2179.747821,618.2823381,28.36%,
City of London,E09000001,315.0475695,12.68779315,4.03%,
Croydon,E09000008,8652.277691,1796.352224,20.76%,
Ealing,E09000009,5556.919422,1048.287866,18.86%,
Enfield,E09000010,8222.709473,1406.535327,17.11%,
Greenwich,E09000011,5045.50519,1040.237169,20.62%,
Hackney,E09000012,1905.522052,343.2059353,18.01%,
Hammersmith and Fulham,E09000013,1716.107445,258.3911233,15.06%,
Haringey,E09000014,2960.782924,589.2638342,19.90%,
Harrow,E09000015,5048.685229,1074.761112,21.29%,
Havering,E09000016,11447.75701,1610.894643,14.07%,
Hillingdon,E09000017,11575.63237,2314.594387,20.00%,
Hounslow,E09000018,5661.090638,1012.391222,17.88%,
Islington,E09000019,1486.175021,318.1937806,21.41%,
Kensington and Chelsea,E09000020,1238.86323,288.198347,23.26%,
Kingston upon Thames,E09000021,3727.68156,773.630962,20.75%,
Lambeth,E09000022,2725.878718,480.7856576,17.64%,
Lewisham,E09000023,3532.756439,692.5832994,19.60%,
Merton,E09000024,3763.945935,747.3608469,19.86%,
Newham,E09000025,3858.811085,448.5820968,11.62%,
Redbridge,E09000026,5645.593367,928.6668437,16.45%,
Richmond upon Thames,E09000027,5878.635372,1605.651038,27.31%,
Southwark,E09000028,2992.33037,647.3634408,21.63%,
Sutton,E09000029,4386.295723,668.0528348,15.23%,
Tower Hamlets,E09000030,2158.173345,317.6492217,14.72%,
Waltham Forest,E09000031,3881.888541,720.8827818,18.57%,
Wandsworth,E09000032,3523.406533,787.4729161,22.35%,
Westminster,E09000033,2203.839897,472.3766165,21.43%,
